medbio_id	post	pre
m33319	0159.AY44.33319.20200723.SAL	NA
m33323	0159.AY44.33323.20200719.SAL	NA
m33325	0159.AY44.33325.20200814.SAL	NA
m33326	0159.AY44.33326.20200722.SAL	NA
m33330	0159.AY44.33330.20200811.SAL	NA
m33332	0159.AY44.33332.20200819.SAL	NA
m32000	0159.AZ03.32000.20201009.SAL	NA
m32001	0159.AZ03.32001.20200916.SAL	NA
m32003	0159.AZ03.32003.20201024.SAL	0159.AZ03.32003.20171012.SAL
m32005	0159.AZ03.32005.20200930.SAL	0159.AZ03.32005.20171121.SAL
m32007	0159.AZ03.32007.20200917.SAL	0159.AZ03.32007.20171129.SAL
m32008	0159.AZ03.32008.20200919.SAL	0159.AZ03.32008.20180110.SAL
m32009	0159.AZ03.32009.20201021.SAL	NA
m32013	0159.AZ03.32013.20200922.SAL	0159.AZ03.32013.20180521.SAL
m32016	0159.AZ03.32016.20200924.SAL	0159.AZ03.32016.20180605.SAL
m32019	0159.AZ03.32019.20201013.SAL	0159.AZ03.32019.20180321.SAL
m32020	0159.AZ03.32020.20201007.SAL	0159.AZ03.32020.20180608.SAL
m32021	0159.AZ03.32021.20201004.SAL	0159.AZ03.32021.20180621.SAL
m32022	0159.AZ03.32022.20201010.SAL	0159.AZ03.32022.20180702.SAL
m32023	0159.AZ03.32023.20200921.SAL	0159.AZ03.32023.20180716.SAL
m32024	0159.AZ03.32024.20200925.SAL	0159.AZ03.32024.20180717.SAL
m32025	0159.AZ03.32025.20200904.SAL	0159.AZ03.32025.20180718.SAL
m32026	0159.AZ03.32026.20200922.SAL	0159.AZ03.32026.20180731.SAL
m32027	0159.AZ03.32027.20201005.SAL	0159.AZ03.32027.20180801.SAL
m32028	0159.AZ03.32028.20200925.SAL	0159.AZ03.32028.20180806.SAL
m32032	0159.AZ03.32032.20200922.SAL	0159.AZ03.32032.20180918.SAL
m32035	0159.AZ03.32035.20201007.SAL	0159.AZ03.32035.20181009.SAL
m32037	0159.AZ03.32037.20201020.SAL	0159.AZ03.32037.20181015.SAL
m32039	0159.AZ03.32039.20201014.SAL	0159.AZ03.32039.20181018.SAL
m32046	0159.AZ03.32046.20201010.SAL	0159.AZ03.32046.20181211.SAL
m32047	0159.AZ03.32047.20200922.SAL	0159.AZ03.32047.20181218.SAL
m32049	0159.AZ03.32049.20201018.SAL	0159.AZ03.32049.20190115.SAL
m32050	0159.AZ03.32050.20201005.SAL	0159.AZ03.32050.20190122.SAL
m32051	0159.AZ03.32051.20201004.SAL	NA
m32055	0159.AZ03.32055.20200916.SAL	NA
m32060	0159.AZ03.32060.20201005.SAL	0159.AZ03.32060.20180918.SAL
m32061	0159.AZ03.32061.20200918.SAL	0159.AZ03.32061.20190919.SAL
m32062	0159.AZ03.32062.20200920.SAL	0159.AZ03.32062.20190930.SAL
m32064	0159.AZ03.32064.20201004.SAL	NA
m32065	0159.AZ03.32065.20201016.SAL	0159.AZ03.32065.20190124.SAL
m32067	0159.AZ03.32067.20201019.SAL	0159.AZ03.32067.20190205.SAL
m32068	0159.AZ03.32068.20201013.SAL	0159.AZ03.32068.20190207.SAL
m32069	0159.AZ03.32069.20200925.SAL	0159.AZ03.32069.20190211.SAL
m32070	0159.AZ03.32070.20201015.SAL	0159.AZ03.32070.20190212.SAL
m32071	0159.AZ03.32071.20200919.SAL	0159.AZ03.32071.20190226.SAL
